biweek,community,measles
1,A,22
2,A,27
3,A,64
4,A,84
5,A,116
6,A,172
7,A,173
8,A,651
9,A,786
10,A,1041
11,A,842
12,A,903
13,A,745
14,A,211
15,A,83
16,A,11
17,B,1
18,B,2
19,B,7
20,B,4
21,B,20
22,B,38
23,B,125
24,B,290
25,B,519
26,B,874
27,B,810
28,B,702
29,B,636
30,B,213
31,B,71
32,B,34
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,0
40,,0
41,,0
42,C,0
43,C,0
44,C,0
45,C,2
46,C,2
47,C,4
48,C,3
49,C,20
50,C,49
51,C,81
52,C,116
53,C,164
54,C,159
55,C,33
56,C,16
57,C,5
