"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bangladesh","BGD","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.18046989120856","6.9146816559834","6.66746836064182","6.44056642652161","6.23581003750135","6.05340586521771","4.52322386628696","4.89136032647314","7.80358959707856","8.17222472228629","4.33407805146848","3.94723160167726","2.20157095116216","1.54427574192173","3.2983569426378","2.71747718507741","1.86393421516696","1.94770558430207","0.692739752007121","",
"Bulgaria","BGR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.70823883780759","6.60242278233596","6.26356691908731","5.83093515505231","5.59760162686849","7.91032580941681","4.19852454694239","4.09536133688103","2.55069506440505","1.17912035778933","0.674157303370786","0.315980725175764","0.141497298687934","0.0838444350352356","0.0779256998958257","0.036139063114866","0.0157359507464742","0.0269974236744265","0.0113499648151091","",
"Bermuda","BMU","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.952217314756","5.73651539957668","4.98390969663904","6.82323543330317","4.91108949577115","8.8789896541112","8.17887961877253","4.56578358107419","2.99523189012737","2.98342580860673","4.09300166690175","2.08921509613303","2.33047602925287","2.25894246617388","2.25478029068384","1.88896112613312","1.50055436592387","1.22000188662116","1.4054730545828","",
"Brazil","BRA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4404658439761","12.9859226364675","11.1726579816445","12.6167804960735","13.8338190331969","17.422174719209","15.2935606110188","13.8488276651135","8.6114769978259","8.35535288534047","9.8114849009818","7.08369635248647","6.37975425728928","4.82214190696228","3.59735808424666","3.88103267516174","3.22242426125","5.23457235372728","5.12437353122555","",
"Barbados","BRB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5703669829656","13.3916878406967","14.2829565347104","8.19197548003556","5.64818771445132","3.80152894369571","3.8398447617364","1.61176896216713","0.661982486639624","1.93639770261952","1.03692109345892","0.444410658838802","0.157944411271838","0.0285402788956054","0.0357076408713416","0.063122639863061","0.0275147570813813","0.0199377940824627","0.0107478150587637","",
"Botswana","BWA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.8797449474576","7.03426162769752","3.28276460100253","1.6314901958397","1.04141926907574","1.2450147012342","4.00845563135025","1.03345997574385","1.93459387701432","2.09862616426267","1.69194719667349","0.51041065605731","0.224820975205353","0.533114529674515","1.49850005560699","0.370555292397286","0.80586986109569","2.05141043873096","0.588195537877718","",
"Central African Republic","CAF","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","458.76177508041","456.570041611858","454.360964606935","461.465763677846","470.987400385314","472.100446218533","472.63442263679","471.108174265675","461.785177405737","448.450222621929","434.51039661345","419.33455075194","413.086388975232","406.824949499151","393.041171585945","379.912760943218","362.020881582076","347.327025996171","347.326993651389","",
"Canada","CAN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
